c2670805,6,1,0.0172984,2
c2670458,6,1,0.000637277,2
c2670457,6,1,0.000260956,2
c2670456,6,1,0.000394621,2
c2670420,6,1,0.000253052,2
c2670419,6,1,0.000275028,2
c2670401,6,1,0.000287399,2
c2670400,6,1,0.000214078,2
c2670398,6,1,0.000195068,2
c2670218,6,1,0.000187239,2
c2670217,6,1,0.000191959,2
c2670216,6,1,0.000511442,2
c2670215,6,1,0.000265643,2
c2670214,6,1,0.000269253,2
c2670213,6,1,0.000255467,2
c2670212,6,1,0.00024535,2
c2670211,6,1,0.000171293,2
c2670210,6,1,0.000273742,2
c2670209,6,1,0.000197672,2
c2670208,6,1,0.000367078,2
c2670207,6,1,0.000390416,2
c2670206,6,1,0.000339069,2
c2670205,6,1,0.000290088,2
c2670204,6,1,0.000290492,2
c2670203,6,1,0.000245633,2
c2670202,6,1,0.000396851,2
c2670201,6,1,0.000525846,2
c2670200,6,1,0.000308769,2
c2670199,6,1,0.000219328,2
c2670198,6,1,0.00021146,2
c2670197,6,1,0.000204138,2
c2670196,6,1,0.000213336,2
c2670195,6,1,0.000189967,2
c2670194,6,1,0.000192868,2
c2670193,6,1,0.000261138,2
c2670192,6,1,0.000265663,2
c2670191,6,1,0.000209702,2
c2670190,6,1,0.00022504,2
c2670189,6,1,0.000201755,2
c2670188,6,1,0.000303261,2
c2670187,6,1,0.000190151,2
c2670186,6,1,0.000384932,2
c2670185,6,1,0.000390015,2
c2670184,6,1,0.000238668,2
c2670183,6,1,0.000209739,2
c2670182,6,1,0.000210819,2
c2670181,6,1,0.000270824,2
c2670180,6,1,0.000282863,2
c2670179,6,1,0.0002593,2
c2670178,6,1,0.000279323,2
c2670177,6,1,0.000301188,2
c2670176,6,1,0.00029921,2
c2670175,6,1,0.000213593,2
c2670174,6,1,0.000469674,2
c2670173,6,1,0.00019239,2
c2670172,6,1,0.000216842,2
c2670171,6,1,0.000266182,2
c2670170,6,1,0.000264625,2
c2670169,6,1,0.000377465,2
c2670168,6,1,0.000273501,2
c2670167,6,1,0.000320828,2
c2670166,6,1,0.000222254,2
c2670165,6,1,0.000540014,2
c2670164,6,1,0.000180048,2
c2670163,6,1,0.000230281,2
c2670162,6,1,0.000254751,2
c2670161,6,1,0.000216145,2
c2670160,6,1,0.000198288,2
c2670159,6,1,0.000207805,2
c2670158,6,1,0.000213061,2
c2670157,6,1,0.000193611,2
c2670156,6,1,0.000197936,2
c2670155,6,1,0.000247817,2
c2670154,6,1,0.000207672,2
c2670153,6,1,0.000235187,2
c2670152,6,1,0.000210775,2
c2670151,6,1,0.000223875,2
c2670150,6,1,0.000486028,2
c2670149,6,1,0.00041564,2
c2670148,6,1,0.000280119,2
c2670147,6,1,0.000253313,2
c2670146,6,1,0.0004817,2
c2670145,6,1,0.000285985,2
c2670144,6,1,0.000249377,2
c2670143,6,1,0.000217394,2
c2670493,8,1,0.00020915,3
c2670491,8,1,0.000217539,3
c2670490,8,1,0.000227396,3
c2670489,8,1,0.000264351,3
c2670487,8,1,0.000217194,3
c2670494,9,1,0.000248685,3
c2670492,9,1,0.000285492,3
c2670488,9,1,0.000274199,3
c26701026,16,1,0.0119104,6
c26701028,18,1,0.000827923,5
c2670799,26,1,0.000572617,9
c26701269,29,1,0.000541965,9
c26701029,29,1,0.000897444,9
c2670792,38,1,0.00102652,12
c26701277,70,1,0.00106606,24
c26701448,73,1,0.0266453,25
c26701726,104,1,0.00589205,52
c26702018,107,1,0.00430316,65
c26702022,115,1,0.0112557,115
c26702020,115,1,0.00996804,115
c26702016,115,1,0.0116426,115
c26702014,115,1,0.00910505,115
c26702012,115,1,0.0140008,115
c26702010,115,1,0.00992306,115
c26701821,118,1,0.0180926,168
c26701820,118,1,0.012533,168
c26701819,118,1,0.0167351,168
c26701818,122,1,0.0143365,168
c26701817,122,1,0.0112602,168
c26701816,122,1,0.0144507,168
c26701970,135,1,0.0137809,119
c26701969,136,1,0.0137223,118
c26701971,146,1,0.00979981,95
c26702390,256,1,0.0483604,473
c26702389,256,1,0.0507937,473
c26702388,256,1,0.0455834,473
c26702387,256,1,0.0519393,473
c26702644,276,1,0.0779783,793
c26702643,276,1,0.0781032,793
c26702496,276,1,0.0570726,554
c26702970,1569,1,0.3187,3068
c26702971,1953,1,1.63782,13100
c26702925,1963,1,1.67606,13139
c26702891,2165,1,0.415708,1415
